reservation_id,listing_id,listing_name,total_revenue,billable_amount,rental_amount,bedrooms,owner_stay,booked_at,lead_time,checkin_date,stay_length,adr,guests,status,currency,is_managed_account_valid
128328857,3960391,Palms Resort #902,2425.00,2755.00,2425.00,3,No,2026-04-12T21:22:12+00:00,63,2026-06-14,6,404.17,0,accepted,USD,Yes
128328521,3960338,Beach Club II 4E,2469.00,2469.00,2469.00,4,No,2026-04-12T21:07:19+00:00,47,2026-05-29,5,493.80,0,accepted,USD,Yes
128227266,3960364,Grande Cayman Resort #1253,2191.00,2191.00,2191.00,3,No,2026-04-12T17:14:58+00:00,67,2026-06-18,4,547.75,0,accepted,USD,Yes
128227509,3960391,Palms Resort #902,2315.00,2315.00,2315.00,3,No,2026-04-12T17:11:05+00:00,105,2026-07-26,5,463.00,0,accepted,USD,Yes
128227249,3960361,Emerald Pointe #3B,826.00,921.89,826.00,2,No,2026-04-12T16:55:44+00:00,71,2026-06-22,4,206.50,0,accepted,USD,Yes
128227018,3960336,Barefoot #731 Willow Bend,2352.00,2352.00,2352.00,3,No,2026-04-12T16:01:25+00:00,74,2026-06-25,10,235.20,0,accepted,USD,Yes
128227097,3960340,Beach Cove #507,525.00,835.45,525.00,1,No,2026-04-12T02:44:32+00:00,54,2026-06-05,3,175.00,0,accepted,USD,Yes
128227525,3960394,Sanabel Towers #303,1321.00,1720.81,1321.00,2,No,2026-04-11T22:35:37+00:00,106,2026-07-26,5,264.20,0,accepted,USD,Yes
128227526,3960394,Sanabel Towers #303,1528.00,1945.41,1528.00,2,No,2026-04-11T19:19:26+00:00,86,2026-07-06,6,254.67,0,accepted,USD,Yes
128163570,3960383,Monterey Bay #1205,721.00,829.24,721.00,1,No,2026-04-11T15:29:15+00:00,65,2026-06-15,4,180.25,0,accepted,USD,Yes
128162200,3960327,Anderson Ocean Club,1387.00,1450.86,1387.00,3,No,2026-04-11T15:08:22+00:00,76,2026-06-26,2,693.50,0,accepted,USD,Yes
128163156,3960369,Holiday Pavilion #210,351.00,503.62,351.00,1,No,2026-04-11T14:26:58+00:00,1,2026-04-12,5,70.20,0,accepted,USD,Yes
128163891,3960394,Sanabel Towers #303,1510.00,1510.00,1510.00,2,No,2026-04-11T13:33:05+00:00,44,2026-05-25,7,215.71,0,accepted,USD,Yes
128163519,3960381,MB Resort 4216,0.00,0.00,0.00,2,No,2026-04-10T21:38:25+00:00,23,2026-05-03,5,0.00,0,canceled,USD,Yes
128162522,3960339,Beach Cove #412,705.00,1030.75,705.00,1,No,2026-04-10T15:39:16+00:00,83,2026-07-02,3,235.00,0,accepted,USD,Yes
127570523,3960392,Prince Resort 1205,864.00,1008.93,864.00,3,No,2026-04-10T02:42:29+00:00,0,2026-04-10,3,288.00,0,accepted,USD,Yes
127646485,3960396,Sand Castle #707,190.00,434.00,190.00,1,No,2026-04-10T01:39:16+00:00,0,2026-04-10,2,95.00,0,accepted,USD,Yes
127566813,3960350,Coconut Grove #204,3115.00,3115.00,3115.00,6,No,2026-04-10T00:31:01+00:00,128,2026-08-16,6,519.17,0,accepted,USD,Yes
127569077,3960388,Ocean Reef #518,2617.00,2617.00,2617.00,3,No,2026-04-09T13:48:10+00:00,59,2026-06-07,6,436.17,0,accepted,USD,Yes
127567881,3960369,Holiday Pavilion #210,795.00,878.80,795.00,1,No,2026-04-09T12:57:31+00:00,43,2026-05-22,3,265.00,0,accepted,USD,Yes
127467345,3960392,Prince Resort 1205,2568.00,3144.33,2568.00,3,No,2026-04-08T22:57:20+00:00,76,2026-06-23,5,513.60,0,accepted,USD,Yes
127466540,3960338,Beach Club II 4E,739.00,932.88,739.00,4,No,2026-04-08T18:56:05+00:00,16,2026-04-24,3,246.33,0,accepted,USD,Yes
127466774,3960364,Grande Cayman Resort #1253,2619.00,2619.00,2619.00,3,No,2026-04-08T15:19:31+00:00,45,2026-05-23,6,436.50,0,accepted,USD,Yes
127466849,3960369,Holiday Pavilion #210,226.00,397.99,226.00,1,No,2026-04-08T14:34:10+00:00,2,2026-04-10,2,113.00,0,accepted,USD,Yes
127466326,3960323,A Place at the Beach #123,236.00,423.34,236.00,2,No,2026-04-08T12:46:39+00:00,8,2026-04-16,4,59.00,0,accepted,USD,Yes
127466379,3960326,A Place at the beach 3L 5001,290.00,468.97,290.00,2,No,2026-04-08T11:49:06+00:00,2,2026-04-10,2,145.00,0,accepted,USD,Yes
127377713,3960401,Shipwatch Pointe E109,1171.00,1213.42,1171.00,2,No,2026-04-07T21:26:50+00:00,52,2026-05-29,7,167.29,0,accepted,USD,Yes
127377214,3960390,Ocean villas #G2,913.00,995.41,913.00,2,No,2026-04-07T16:24:16+00:00,90,2026-07-06,4,228.25,0,accepted,USD,Yes
127377189,3960384,Myrtle Beach Resort #431B,170.00,350.67,170.00,1,No,2026-04-07T15:37:23+00:00,3,2026-04-10,2,85.00,0,accepted,USD,Yes
